created_at,text,url,replies,retweets,favorites,user
10/12/16 20:54,"RT @WhiteHouse: In honor of #HispanicHeritageMonth, we celebrate the progress that Hispanic Americans have made under @POTUS: https://t.co/_",https://twitter.com/BarackObama/status/786309121393856512,96,505,1545,BarackObama
10/12/16 19:43,Support the bold steps we're taking against climate change. Say you're ready to #ActOnClimate: https://t.co/EtwjaKgYFW,https://twitter.com/BarackObama/status/786291325486309381,158,529,2217,BarackObama
10/12/16 17:57,"Last week, more than 190 countries reached a landmark deal to reduce carbon pollution from aviation. https://t.co/LRYkXVw3rO #ActOnClimate",https://twitter.com/BarackObama/status/786264508436058112,184,884,3539,BarackObama
10/12/16 16:35,Let's leave our children and grandchildren a planet that's healthier than the one we have today. #ActOnClimate https://t.co/mP29bpRdU9,https://twitter.com/BarackObama/status/786243954601660417,429,3741,12277,BarackObama
10/12/16 15:25,Climate change's effects are devastating. Denying the science behind it does nothing to help. https://t.co/Rww40wwgD9 #ActOnClimate,https://twitter.com/BarackObama/status/786226181318123523,244,1250,3431,BarackObama
10/11/16 23:59,"""On behalf of Michelle and our family, Gmar Chatimah Tovah."" President Obama #YomKippur",https://twitter.com/BarackObama/status/785993169460527104,219,1660,7497,BarackObama
10/11/16 21:18,"""LGBT individuals deserve to know their country stands beside them."" President Obama #NationalComingOutDay https://t.co/op7nBzbaod",https://twitter.com/BarackObama/status/785952655113723904,638,20697,44500,BarackObama
10/11/16 20:02,The Supreme Court must remain above politics. Judge Garland needs a hearing and a vote. #DoYourJob https://t.co/eVSPSIFNpB,https://twitter.com/BarackObama/status/785933569365450752,369,3099,10124,BarackObama
10/11/16 18:38,Don't stand idly by while Senate leaders continue to block Judge Garland from a fair hearing and vote: https://t.co/TSavHP3mHg #DoYourJob,https://twitter.com/BarackObama/status/785912543210377216,174,895,3158,BarackObama
10/11/16 17:26,"Judge Garland is just as qualified now as he was in 1997, Senate leaders. It's time to #DoYourJob. https://t.co/j1lEkdMYV6",https://twitter.com/BarackObama/status/785894365298208769,198,2335,7263,BarackObama
10/11/16 15:31,Dispel misinformation with facts from the @OFA Truth Team. https://t.co/zjexLUJXAC,https://twitter.com/BarackObama/status/785865432486014980,157,428,1800,BarackObama
10/7/16 22:03,"The uninsured rate is the lowest it's been in decades, thanks to #Obamacare. Spread the word._ https://t.co/ZkN8HVbn3E",https://twitter.com/BarackObama/status/784514411604041729,711,1813,6597,BarackObama
10/7/16 20:38,Deadline tonighthelp rein in payday lenders that succeed by targeting vulnerable Americans: https://t.co/7OlpH6OFek #StopTheDebtTrap,https://twitter.com/BarackObama/status/784493195061239808,208,636,2304,BarackObama
10/7/16 19:54,The Obama administration and @CFPB are working to protect consumers and #StopTheDebtTrap. https://t.co/UMO01OUkdh,https://twitter.com/BarackObama/status/784482008730734592,177,580,2514,BarackObama
10/7/16 18:02,"Our economy is on a better, stronger course. https://t.co/yzB6x7CExJ",https://twitter.com/BarackObama/status/784453805706534916,254,593,2516,BarackObama
10/7/16 16:16,The economic progress we've made is undeniablelet's keep it up. https://t.co/gAlfaC1hkI,https://twitter.com/BarackObama/status/784427310703345664,259,1100,3808,BarackObama
10/7/16 15:14,Check out President Obama's essay in @TheEconomist on the unique challenges the American economy faces. https://t.co/jKJNCrQALL,https://twitter.com/BarackObama/status/784411527193456640,172,1170,3267,BarackObama
10/7/16 13:59,"The economy added 156,000 jobs in Septemberextending the longest streak of total job growth on record.",https://twitter.com/BarackObama/status/784392680008712192,352,2168,7907,BarackObama
10/6/16 18:35,ICYMI: Read about the historic #ParisAgreement and what it means for the fight to #ActOnClimate. https://t.co/eMefgFZk53,https://twitter.com/BarackObama/status/784099769425596418,217,716,2605,BarackObama
